a;ut
able;sa
about;circem
absence;an-ai
absence;anai
absent;an-ai
absent;anai
absorb;por-in
absorb;porin
accident;cas
account(n);ratitas
account(v);rati
achieve;le-in
achieve;lein
achievement;le-in-tas
achievement;leintas
acid;coxi-tas
acid;coxitas
acquaintance;afin
across;trax
act(n);ac-tas
act(n);actas
act (v);ac
acting;ac-te
acting;acte
add;adix
addition;adictas
adding;adicte
adequate;satis
administration;ben-mon-tas
administration;benmontas
admit;chan-por
admit;chanpor
admittance;chan-por-tas
admittance;chanportas
adorn;tint
advice;mon-wis
advice;monwis
affinity;fed-tas
affinity;fedtas
after;pos
again;denae
against;an-adsenk-tas
against;anadsenktas
age;vas-tim
age;vastim
ago;prae-tim
ago;praetim
agree;adsenkt
agreement;adsenktas
agricultural leader;us-arb-vas-lem
agricultural leader;usarbvaslem
air;hur
albeit;et
alert;jux-wis
alert;juxwis
all;tu
allright;vers
allow;can
almost;presk
also;mis-tim
also;mistim
although;et
always;tu-tim
always;tutim
among;ante
amount;minzur
amuse;oblek
amusement;oblektas
ancient;prae-tim-de
ancient;praetimde
and;esh
and;ew
anger(n);belis-tas
anger(n);belistas
anger(v);belis
angle;angulem
angry;belis-ku
angry;belisku
animal;zen
annoy;vex
annoying;vex-te
annoying;vexte
anoint;ungo
answer;res
ant;formi
anticipate;sper
antidote;an-nax-ailem
antidote;annaxailem
any;kui
anything;kui-ailem
anything;kuiailem
anytime;kui-tim
anytime;kuitim
apart;dis
aperture;fora
apparatus;makis
apple;mal
approve;adsenkt-de
approve;adsenktde
arc;arch
archive;mag-enu
achive;magenu
are;est
argue;oro
argument;oro-tas
argument;orotas
arm;brak
armor;aglo
army;agra-lem-mur
army;agralemur
aroma;olef-tas
aroma;oleftas
arrive;tim-por
arrive;timpor
art;ars
artifact;ben-in-ailem
artifact;beninailem
artist;ars-lem
artist;arslem
as;kua
as;ve
ascend;uus-por
ascend;uuspor
ask;arr
assemble;int-rep-ku
assemble;intrepku
astrology;sil
asunder;dis
at;ast
attack;agra
attempt;insep
attention;kur
attentive;kur-ku
attentive;kurku
attract;trak-por
attract;trakpor
authority;grav
available;rap-sa
available;rapsa
avatar;avatar
avert;in-por-dis
avert;inpordis
avoid;in-por-dis
avoid;inpordis
await;sper
awake;an-zu
awake;anzu
baby;bet-lem
baby;betlem
back;do
bad;bal
bag;mantik
balance;mis-tas
balance;mistas
ball;glub
banish;an-kal
banish;ankal
banner;ting-teks
banner;tingteks
bar;sera
bark(n);arb-teg
bark(n);arbteg
base;rad
basin;setil
basket;korb
bath;purg-te-kap
bath;purgtekap
bathe;purg-zen-tu
bathe;purgzentu
battle;vas-korp-agra
battle;vaskorpagra
be;est
bear(n);urs
bear (v);fer
beautiful;pulker
because;qua-wis
because;quawis
become;in
bed;ter-zu
bed;terzu
bee;abis
beehive;abis-reg
beehive;abisreg
before;prae
begin;init
begin;re-in
begin;rein
begone;gres-por
begone;grespor
behavior;mors
being(n);zen
belief;kred-tas
belief;kredtas
believe;kred
believer;kred-lem
believer;kredlem
bell;clok
belly;alv
belong;de
beloved;amo-lem
beloved;amolem
below;des-de
below;desde
bench;pur-sed
bench;pursed
bent;arch
berry;baka
berserk;ari
berserker;sarp-ari-lem
berserker;sarparilem
betra;betra
better;plu-ben
better;pluben
between;intes
big;vas
bird;avir
birth;in-zen
birth;inzen
bite;mord
bitter;azer
black;mel
blacksmith;agra-char-in-lem
blacksmith;agracharinlem
blade;kupsi
bless;saengkt
blood;crios
blow;in-hur
bloe;inhur
blue;sini
board;tabil
boat;lin-tas
boat;lintas
body;zen-tu
body;zentu
boil;fervi
boiling;fervi-ku
boiling;ferviku
bond (n);afin
bond (n);fed-tas
bond (n);fedtas
bond (v);fed
bone;os
book;kodeks
boomerang;ta-re-por
boomerang;tarepor
boot;ped-aglo
boot;pedaglo
both;sek
bottle;lago
bottom;vas-des
bottom;vasdes
bow;arch
bowels(earth);ter-alt
bowels(earth);teralt
box;kap
boy;mas-bet-lem
boy;masbetlem
brain;cerub
branch;car-de-arb
branch;cardearb
bread;pan
breast;cor
breath;ura
breeches;braca
brick;ater
bridge;pons
bright;qar
bright;klar
bring;fer
bring;por
broken;bris
brother;frèt
brother;fret
brown;ful
brush;pinek
brutal;veh
bucket;setil
building;domu
burn;in-flam
burn;inflam
burst;eks-rap
burst;eksrap
bush;arb
business;rei
but;a
but;sol
butter;beur
button;buto
by;o
by;pa
cable;fil
cake;mit-mani-ailem
cake;mitmaniailem
calamity;skel
call;kal
calm;an-hur
calm;anhur
can;sa
cannot;a-sa
cannot;asa
canvas;karbas
card;tab
care;kur
caring;kur-ku
caring;kurku
carriage;vas-cur
carriage;vascur
carrier;por-lem
carrier;porlem
cart;cur
cast (spell);kal-ort
cast (spell);kalort
cast (throw);deji
cat;gat
catch;praen
cauldron;vas-leb
cauldron;vasleb
cause;in
cave;turn
center;med
certain;ker
certainly;ker-de
certainly;kerde
chafe;bal-ungo
chafe;balungo
chain;vink
chair;sed-tas
chair;sedtas
chalice;kalix
chamber;klau
chamber;qau
chance;cas
change;rel 
changing;rel
chaos;an-ord
chaos;anord
cheap;vil
cheese;vak-mani-ailem
cheese;vakmaniailem
chemical;kimik
chest (container);vas-kap
chest (container);vaskep
chest (body);thor
chicken;pul
chief;uus-lem
chief;uuslem
chin;ment
choice;sel-tas
choice;seltas
choke;vas-ang
choke;vasang
choose;sel
chrysalis;kort
circle;kir
city;op
clamp;harp
claw;uy
clean;purg
clear;purg-ku
clear;purgku
clear;pur
client;clens
climate;coel
cling;ang
clingy;ang-ku
clingy;angku
clock;horel
clone;quas-zen
clone;quaszen
close (proximity);cirk
close (verb);firm
closed;an-ex-por
closed;anexpor
cloth;teks
clothe;suo-teks
clothe;suotek
cloud;nub
coal;sarbo
codex;kodeks
coil (n);plir-tas
coil (n);plirtas
coil (v);plir
cold;an-flam
cold;anflam
collapse;kad
collar;cu
color;ting
combine;ku-por
combine;kupor
come;in-por
come;inpor
come;tim-por
come;timpor
come here;ter-ista-por
come here;teristapor
come out;gres-por
come out;grespor
comfort;don-an-hur
comfort;donanhur
committee;mag-mur
committee;magmur
common;vil
commoner;an-cel-lem
commoner;ancellem
community;mur-om
community;murom
compare;si-par
compare;sipar
comparison;si-par
comparison;sipar
compassion;mu
competition;amo-agra-tas
competition;amoagratas
complete;clud
complex;an-pur
complex;anpur
condition;stat
confound;sop
confusion;vas-quas
confusion;vasquas
connect;fed
connection;fed-tas
connection;fedtas
conscious;an-zu
conscious;anzu
consider;kred
constant;adsi
consumable;kans-sa
consumable;kanssa
consume;kans
contempt;fest-as
contempt;festas
continue;te-in
continue;tein
control;un
conviction;ker-tas
conviction;kertas
convince;in-ker
convince;inker
cook;kans-in-lem
cook;kansinlem
copper;aes
copy (n);quas-ailem
copy (n);quasailem
copy (v);in-mis
copy (v);inmis
cord;fil
cork;kort
correct;apta
correctly;apta-de
correctly;aptade
cost;som
costly;som-ku
costly;somku
cotton;pek-teg
cotton;pekteg
cough;hur-ex-cu
cough;hurexcu
council;mur-pri-lem
council;murprilem
countless;an-mur-de
countless;anmurde
country;vas-ter-reg
country;vasterreg
courage;kor
course;via
courthouse;beh-reg
courthouse;behreg
cover;sep
cow;vak
crack;skis
craft;ben-in
craft;benin
crafter;ben-in-lem
crafter;beninlem
crazy;fu
create;in
creator;kred-in-lem
creator;kredinlem
creature;zen
credit;an-aur
credit;anaur
crime;skel
criminal;skel-lem
criminal;skellem
crossroad;bif
crowd (n);plen-tas
crowd (n);plentas
cruel;vas-bal
cruel;vasbal
crush;an-in
crush;anin
cry;plor
cube;kuad
cube;quad
culture;cult
cunning;dol
cup;kalix
cure (poison);an-nax
cure (poison);annax
cure potion;mir-an-nax
cure potion;mirannax
current (now);rap
current (water);mir-for
current (water);mirfor
curse;an-saengkt 
curse;ansaengkt
cursed;an-saengkt
cursed;ansaengkt
curtain;val
curve;arch
cushion;culk
cut;skis
daemon;daemon
damage;juks
danger;juks
dark;an-lor
dark;anlor
darkness;an-lor
darkness;anlor
dash;rap-curo
dash;rapcuro
daughter;fem-prol
daughter;femprol
day;lor-tim
day;lortim
daytime;lor-tim
daytime;lortim
dead;korp
deadly;korp
deadly poison potion;mir-korp-nox
deadly poison potion;mirkorpnox
dear;mag
death;korp
debt;dot
deceit;dol
decision;in-sel
decision;insel
deep;alt
defend;jux-ark
defend;juxark
degree;quant
delicate;feb
demand;nes-tas
demand;nestas
demented;vas-fu
demented;vasfu
demolition;an-in-tas
demolition;anintas
demon;daemon
dense;cras
dependent;clen
deranged;fu
descend;des-por
descend;despor
descendant;prol
desecrate;om-jux
desecrate;omjux
design;in-wis-lor
design;inwislor
design;prop
desire;eger
desk;pupit
despise;asper
destroy;an-in
destroy;anin
destruction;an-in-tas
destruction;anintas
detail;acu
development;evol
die;in-korp
die;ankorp
different;an-mis
different;anmis
digest;coxi
digestion;coxi-tas
digestion;coxitas
diligence;us
diminish;in-des
diminish;indes
direction;trak-tas
direction;traktas
dirty;an-pur
dirty;anpur
disbelief;an-kred
disbelief;ankred
discover;ven
discovery;ven-tas
discovery;ventas
discuss;lok
discussion;lok-de
discussion;lokde
disdain;asper
disease;an-ben-tas
disease;anbentas
disgust;fest
disgusting;fest-as
disgusting;festas
dismay;sop
dispel;an-ort
dispel;anort
distance;spak
distribute;don-mur
distribute;donmur
distribution;don-mur-tas
distribution;donmurtas
disturb;vex
divide;skis
division;skis-tas
division;skistas
do;fai-an-kred
do;faiankred
dog;cani
doom;bal
door;aper-ter
door;aperter
doubt;an-kred
doubt;ankred
douse;an-flam
douse;anflam
down;des
drag;trak-por
drag;trakpor
dragon;drak
drain;an-plen
drain;anplen
drake;bet-drak
drake;betdrak
draw (drag);trak-por
draw (drag);trakpor
draw;in-wis-lor
draw;inwislor
drawer;pupit-de
drawer;pupitde
dress (n);fem-orn
dress (n);femorn
dress (v);orn
drink;bib
drop;don
dry;sik
dungeon;sadis-turn
dungeon;sadisturn
duplicate (n);quas-ailem
duplicate (n);quasailem
duplicate (v);in-mis
duplicate (v);inmis
duration;dur
dust;ailem
ear;aud
early;vas-prae-tim
early;vaspraetim
earth;ter-reg
earth;terreg
earthquake;vas-por-ailem
earthquake;vasporailem
east;uri
eclipse;vas-an-lor
eclipse;vasanlor
edge;marga
education;cult
effect;cons
egg;ov
eight;ok
eighth;ok-de
eighth;okde
elastic;tir-ku
elastic;tirku
electric;lect
elevated;vas-uus
elevated;vasuus
enchant;in-ort
enchant;inort
end;fin
endanger;in-jux
endanger;injux
enemy;an-amo-lem
enemy;anamolem
energy;grav
engine;mot
enlarge;in-vas
enlarge;invas
enough;satis
enslave;an-ex
enslave;anex
enter;ante
entrust;kred-don
entrust;kreddon
epoch;vas-tim
epoch;vastim
equal;par
equally;par-de
equally;parde
erect;rec
error;fel-tas
error;feltas
even;vel
event;rei
ever;unq
every;vas-ailem 
every;vasailem
everything;vas-ailem
everything;vasailem
everyone;lem-mur
everyone;lemmur
evil;bal
evil one;bal-sil
evil one;balsil
example;ceu
exchange;vici
excite;ben-sop
excite;bensop
excitement;ben-sop-tas
excitement;bensoptas
exist;est
existence;zen
exit (n)/(v);gres/gres-por
exit (v);gres-por
exit (v);grespor
expand;uus
expansion;uus-tas
expansion;uustas
experience;usu-de
experience;usude
experiment;usu
expert;usu-lem
expert;usulem
extinguish;an-flam
extinguish;anflam
eye;vid
fable;fel-wis
fable;felwis
face;wis-char
face;wischar
fact;ver-tas
fact;vertas
fail;kad
fall;kat
false prophet;an-bal-sil-fer
false prophet;anbalsilfer
false;fel-wis 
false;felwis
falsehood;fel-wis
falsehood;felwis
family;xen
family;zhen
famine;an-kans
famine;ankans
far;an-cirk
far;ancirk
farm;arb-reg
farm;arbreg
farmer;arb-lem
farmer;arblem
fat;vas-ku
fat;vasku
father;mas-in-lem
father;masinlem
fear;quas-korp
fear;quaskorp
feather;plum
feeble;vas-feb
feeble;vasfeb
feel;sent 
feeling;sent
felucca;feluka
female;fem
fence;sera
ferocious;veh
fertile;mur-in-zen
fertile;murinzen
few;an-mur
few;anmur
fiction;jist
field;grav
fight;agra
fighter;agra-lem
fighter;agralem
fighter;mek-lem
fighter;meklem
final;ul
find;ven
finger;dig
fire;flam
fireplace;ter-flam
fireplace;terflam
first;pri
fish;pisk
fissure;fora
five;pen
fix;fig
fixed;fig
flag;mag-teks
flag;magteks
flame;flam
flank;lat
flat;vel
flavor;sab
flee;rap-curo
flee;rapcuro
flight;vol-tas
flight;voltas
float;nag
floor;solu
flower;flur
flute;tib
fly;vol
focus;in-bet
focus;inbet
fodus;fodus
fold (n);plir-tas
fold (n);plirtas
fold (v);plir
follow;pos
food;mani-ailem
food;maniailem
foolish;stul
foot;ped
for;trak
for (time);dur
force;saengkt
force field;saengkt-grav
force field;saengktgrav
forest;ter-vas-arb
forest;tervasarb
forest fire;arb-flam
forest fire;arbflam
forever;tu-tim
forever;tutim
forget;an-wis
forget;anwis
fork;bif
form;in
fortunate;bea
forward;pos-an-do
forward;posando
foundation;des-in-tas
foundation;desintas
four;kuar
four;quar
fowl;pul
fragile;vas-feb
fragile;vasfeb
frail;vas-feb
frail;vasfeb
frame;rep
free (n);eks
free (v);in-ex
free (v);inex
freedom (n);ex
frequent;kreb
friend;amo-lem
friend;amolem
from;de
front;an-do
front;ando
fruit;arb-kans
fruit;arbkans
full;plen-tas
full;plentas
fun;lud
function;per
functionality;per-tas
functionality;pertas
funny;lud-ku
funny;ludku
fur;zen-crin
fur;zencrin
future;pos-tim
future;postim
game;lud
garden;mur-flur
garden;murflur
gargoyle;gargl
gargish;gargl
gate;aper-ter
gate;aperter
gender;gens
general;us-agra-lem
general;usagralem
gentle;len
gentleness;len-tas
gentleness;lentas
get;klep
get;qep
ghost;um-lem
ghost;umlem
gift;rem
girl;fem-bet-lem
girl;fembetlem
give;don
give up;amit
glass;vit
glide;lab
glory;glor
glove;manu-orn
glove;manuorn
glue;pend-char
glue;pendchar
go;in-por
go;inpor
go out;gres-por
go out;grespor
goat;cev
gold;aur
good;an-bal
good;anbal
good;ben
goodscrafter;ben-in-lem
goodscrafter;beninlem
gorilla;simi
government;mur-pri-lem
government;murprilem
grain;seg
grappling;harp
grass;erb
gray;hori
great;vas
great knowledge;vas-wis
great knowledge;vaswis
great time;vas-tim
great time;vastim
greater cure potion;vas-mir-an-nax
greater cure potion;vasmirannax
greater heal potion;vas-mir-mani
greater heal potion;vasmirmani
greater poison potion;vas-mir-nox
greater poison potion;vasmirnox
green;vir
greet;kal
grey;hori
grief (v);don-poen
grief (v);donpoen
grieve;vas-an-lai
grieve;vasanlai
grin;sub
grind;bal-ungo
grind;balungo
grip;praen
group;mur
growth;evol
guard;agra-lem
guard;agralem
guide;duk
hail;des-ailem
hail;desailem
hair;crin
half;semi
hall;atri
hammer;mol
hand;manu
handy;rap-sa
handy;rapsa
handyman;des-lem
handyman;deslem
hanging;pend
happy;lai
happiness;lai
harbor;lint-reg
harbor;lintreg
hard;rig
harm (n);jux
harm (v);an-mani
harm (v);anmani
harmony;harm
has;ten-te
has;tente
has to;nes
hasty;subi
hat;wis-char-orn
hat;wischaron
hatch (n);ex-por
hatch (n);expor
hatch (v);gres-por
hatch (v);grespor
hate;an-amo
hate;anamo
hatred;an-amo
hatred;anamo
have;ten
hawk;aki
he;ilem
he;lem
head;wis-char
head;wischar
heal;in-mani
heal;inmani
heal potion;mir-mani
heal potion;mirmani
healer;in-mani-lem
healer;inmanilem
healing;mani
health;ben-tas
health;bentas
healthy;ben
hear;aud
hearing;aud-de
hearing;audde
heart;cor
heat;flam
heavy;cras
heed;ver-vid
heed;vervid
hello;kal
helm;kas
help;auks
her;lem
here;ter-ista
here;terista
hers;lem-de
hers;lemde
hide;ark
hiding place;ter-ark
hiding place;terark
high;cel
high;vas-uus
high;vasuus
him;lem
his;lem-de
his;lemde
history;prae-jist
history;praejist
hole;fora
hollow;fora-ku
hollow;foraku
holy;om-de
holy;omde
home;reg
honesty;am
honest;am
honey;abis-kans
honey;abiskans
honor;summ
hook;harp
hope;sper
horffe;horffe
horn;buci
horse;ekui
hospital;ben-reg
hospital;benreg
hot;flam-ku
hot;flamku
hour;har
house;reg
how;kuo
however;ade
human;hiuman
humble;lum-lem
humble;lumlem
humility;lum
humor;lud
humorous;lud
hurl;deji
hurt;an-mani
hurt;anmani
i;ilem
ice;rig-an-flam
ice;riganflam
idea;kred-in
idea;kredin
if;si
ignite;in-flam
ignite;inflam
ill;an-ben
ill;anben
illuminate;in-lor
illuminate;inlor
illusion of death;quas-korp
illusion of death;quaskorp
illusion;kuas
illusion;quas
illusionary;kuas
illusionary;quas
image;wis-lor
image;wislor
important;mag
impulse;an-ku-kred
impulse;ankukred
impulsive;an-ku-kred
impulsive;ankukred
in;ante
in;te
inanimate;an-zen
inanimate;anzen
incessant;adsi
incline;cliv
increase;uus
industry;rei
infallible;an-kad-sa
infallible;ankadsa
injury;vul
ink;atra
insane;vas-fu
insane;vasfu
insect;bet-zen
insect;betzen
instrument;orga
insurance;assuk
intelligence;ski-tas
intelligence;skitas
intelligent;wis
intense;sev
intention;prop
interest;tri
interesting;tri
interior;ter-alt
interior;teralt
interpret;in-wis-lok
interpret;inwislok
interrogate;arr
interrogation;arr-tas
interrogation;arrtas
into;ante
invention;kred-in
invention;kredin
inventor;kred-in-lem
inventor;kredinlem
invisible;saengkt-lor
invisible;saengktlor
invisibility;saengkt-lor
invisibility;saengktlor
iron;xel
is;est
island;insu
it;lem
its;lem-de
its;lemde
jewel;bij
join;int
jolt;vex
journey;iten
joy;lai
judge;bel-lem
judge;bellem
jump;sal
just one (person);beh-lem
just one (person);behlem
justice;beh
keep;ark
kettle;leb
key;clav
kick;ped-agra
kick;pedagra
kill;in-korp
kill;inkorp
kind (type);spec
kind;ben-ku
kind;benku
kindly;ben-ku
kindly;benku
kindness;len-tas
kindless;lentas
king;pri-lem
king;prilem
kiss;basi
knee;gen
knife;kul
knot;nod
know;ski
know;wis
knowledge;wis
knowledge;skitas
laborer;des-lem
laborer;deslem
lack;an-ten
lack;anten
land;ter-reg
land;terreg
language;liy
last;ul
late;vas-pos-tim
late;vaspostim
laugh;rir
lava;umor-flam
lava;umorflam
law;aksi
lead (n);mon-tas
lead (n);montas
lead (v);mon
leader;mon-lem
leader;monlem
leader;uus-lem
leader;uuslem
leader of farmers;us-arb-vas-lem
leader of farmers;usarbvaslem
leaf;fol
learning;in-wis
learning;inwis
leather;zen-teg
leather;zenteg
leave;gres-por
leave;grespor
left;an-ver
left;anver
leg;por-char
leg;porchar
lens;lor-rel
lens;lorrel
lensmaker;lor-rel-in-lem
lensmaker;lorrelinlem
less;min
least;vil-de
least;vilde
lesson;in-wis-tas
lesson;inwistas
let;can
lethal;vas-korp
lethal;vaskorp
lethal poison;vas-korp-nox
lethal poison;vaskorpnox
letter;lit
level;squa
library;kodeks-reg
library;kodeksreg
librum;librum
lie (resting);sit
lie (untruth);fel-wis
lie (untruth);felwis
