a;ut
life;mani
lift;uus
light;lor
like;de
like;ve
limit;le
line;lig
line;del
linen;delsa-teks
linen;delsateks
lip;buk-marga
lip;bukmarga
liquid;umor
list;enu
little;vil
live;mani
living;mani
location;loc
lock;an-ex-por
lock;anexpor
locked;an-ex-por
locked;anexpor
long;vas
look;vid
loose;an-ang
loose;anang
loosen;an-ang
loosen;anang
lord;pri-lem
lord;prilem
lose;amit
loss;amit-tas
loss;amittas
loud;vas-son
loud;vasson
love;amo
loved one;amo-lem
loved one;amolem
low;an-uus
low;anuus
lower;des
luck;bea
lucky;bea
lumber;nem
machine;makis
mage;ort-lem
mage;ortlem
magic;ort
magical;ort
magical potion;ort-mir
magical potion;ortmir
maintain;in-ten
maintain;inten
make;in
male;mas
man;mas-lem
man;maslem
manage;ben-mon
manage;benmon
manager;ben-mon-lem
manager;benmonlem
many;mur
map;ter-reg-wis-lor
map;terregwislor
mark;viduk-tas
mark;viduktas
market;ved-ter
market;vedtur
marriage;int-zu-tas
marriage;intzutas
marry;int-zu
marry;intzu
married;int-zu
married;intzu
mass;mag-ailem
mass;magailem
mass dispel;vas-an-ort
mass dispel;vasanort
master;art
match;int-rep-ku
match;intrepku
material;ailem-char
material;ailemchar
matter;ailem
may;sa
me;i
meal;pri-de-kans
meal;pridekans
measure;minzur
meat;carn
medical;mani-de
medical;manide
meet;zen-mur-int
meet;zenmurint
meeting;zen-mur-int
meeting;zenmurint
member;char-zen
member;charzen
memory;reski-tas
memory;reskitas
merchandise;ved-ter-de
merchandise;vedterde
merge;int-rep-ku
merge;intrepku
metal;oric-de
metal;oricde
meteor storm;des-ailem
meteor storm;desailem
middle;med
military;agra-lem-mur
military;agralemmur
military leader;us-agra-lem
military leader;usagralem
milk;vak-mir
milk;vakmir
mind;kred-char
mind;kredchar
mine (n);oric-reg
mine (n);oricreg
mine (object);idde
mine (v);oric-te
mine (v);oricte
minute;mun
mist;neb
misuse;abu
mix;quas-rep-ku
mix;quasrepku
mixed;quas-rep-ku
mixed;quasrepku
money;aur
monkey;simi
monster;bal-zen
monster;balzen
month;mur-lor-tim
month;murlortim
moon;orb
moongate;rel-por
moongate;relpor
moongate travel;rel-por
moongate travel;relpor
moonstone;orb-lap
moonstone;orblap
more;plu
morning;lor-tim-init
morning;lortiminit
most;plu
mother;fem-in-lem
mother;feminlem
motion;por
motionless;an-por
motionless;anpor
mountain;mont
mourn;vas-an-lai
mourn;vasanlai
mouse;mus
mouth;buk
mouth (cave);ter-ante
mouth (cave);terante
move;por
movement;por
moving;por
much;plu
multiple;mur
muscle;zen-for-tas
muscle;zenfortas
music;son-de
music;sonde
musician;son-lem
musician;sonlem
must;nes
my;ide
nail;aig
name;nom
narrow;ang-ter
narrow;angter
nation;vas-mur-om
nation;vasmurom
nature;arb-de
nature;arbde
natural;arb-de
natural;arbde
near;cirk
necessary;eger-ku
necessary;egerku
neck;cu
need;eger
needed;eger-ku
needed;egerku
needle;acu
negate;an
negative;an
neither;ni
nerve;ner
net;praen-char
net;praenchar
never;an-tim
never;antim
nevertheless;tam
new;bet-tim
new;bettim
news;mag-wis
news;magwis
nigh;rap-tim
nigh;raptim
night;an-lor-tim
night;anlortim
no;an
no;ni
noble;cel
nod;sub
noise;bal-son
noise;balson
normal;an-aniw
normal;ananiw
north;sept
nose;ura-char
nose;urachar
not;an
note;ton
nothing;an-ailem
nothing;anailem
noun;mo
now;rap
number;mur
nut;rig-kans
nut;rigkans
oath;jur
objective;prop
observation;ang-vid
observation;angvid
ocean;vas-mir
ocean;vasmir
odor;olef-tas
odor;oleftas
of;de
off;an-ad
off;anad
offer;sev-rem
offer;sevrem
office;trav-ter
office;travter
oil;ole
ok;vers
old;vas-tim
old;vastim
on;ad
one;lem
only;sol
open (ad);ex-por
open (ad);expor
open (v);aper
operation;mag-trav
operation;magtrav
opinion;kred-tas
opinion;kredtas
opposite;kon
or;au
orange;aran
orbit;kir-por
orbit;kirpor
order;ord
ore;oric
organization;kons
original;ter-init
original;terinit
originally;ter-init
originally;terinit
ornament;orn-tas
ornament;orntas
other;ali
other;sek-de
other;sekde
our;ui-de
our;ui-de
out;gres
oven;flam-char
oven;flamchar
over;fin-ku
over;finku
owner;de-lem
owner;delem
page;pap-de
page;papde
pain;sadis
paint;in-wis-lor
paint;inwislor
paint;ting
pale;pal
pants;braca
paper;pap
parallel;mis-squa
parallel;missqua
part;car
passion;or
past;prae-tim
past;praetim
paste;pend-char
paste;pendchar
path;via
pay;luo
payment;luo
peace;an-agra
peace;anagra
peculiar;pecu
people;zen-mur
people;zenmur
perfect;ver-in-de
perfect;verinde
persistence;ter-per-tas
persistence;terpertas
persistent;ter-per-tas
persistent;terpertas
person;zen-mur
person;zenmur
pet;zen-lem
pet;zenlem
physical;zen-ku
physical;zenku
picture;wis-lor
picture;wislor
pig;porci
pin;acu
pipe;tib
pirate;klep-lem
pirate;kleplem
place (n);ter
place (v);ter-te
place (v);terte
plague;vas-an-ben
plague;vasanben
plan;prop
plane;ter-ailem
plane;terailem
plant;bet-arb
plant;betarb
plate;kans-char
plate;kanschar
plate;lanx
platter;lanx
play;lud
player;lud-lem
player;ludlem
playful;lud-ku
playful;ludku
please;don-lai
please;donlai
pleasure;lai
plough;arb-char
plough;arbchar
plow;arb-char
plow;arbchar
pocket;mantik-teks
pocket;mantikteks
poem;pulker-mo
poem;pulkermo
point;vid-duk
point;vidduk
poison (n);nax
poison (n);nox
poison (v);in-nax
poison (v);innax
poison (v);in-nox
poison (v);innox
poisonous;nax
poisonous;nox
polish;lim
politics;ben-mon-tas
politics;benmontas
political;ben-mon-tas
political;benmontas
poor;vil
porter;por-lem
porter;porlem
position;loc
possess;de
possible;sa-est
possible;saest
pot;leb
potato;pat
pouch;bet-mantik
pouch;betmantik
powder;pud
power;grav
precede;prae
precise;ben-in-tas
precise;benintas
precision;ben-in-tas
precision;benintas
prediction;sil
present;ter-ista
present;terista
price;som
pride;mul
principle;aksi
principle;axi
print;skri
prison;skel-lem-reg
prison;skellemreg
private;aper-an-tu
private;aperantu
prize;rem
probable;de-ku-est
probable;dekuest
problem;kuae
problem;quae
process;ac-tas
process;actas
produce;in-ailem
produce;inailem
profit;in-aur
profit;inaur
profitable;in-aur-ku
profitable;inaurku
promise (n);jur
promise (v);in-jur
promise (v);injur
proof;ack
proper;apta
proper;beh-de
proper;behde
properly;apta-de
properly;aptade
properly;ben-de
properly;bende
property;predi
prophecy;bal-sil
prophecy;balsil
prophet;bal-sil-fer
prophet;balsilfer
proposal;sev-rem
proposal;sevrem
prosperity;ben-om-mani
prosperity;benommani
protect;in-saengkt
protect;insaengkt
protect;jux-ark
protect;juxark
protection;saeykt
protection;saengkt
protest;lok-an-adsenktas
protest;lokanadsenktas
public;aper-tu
public;apertu
pull;trak-por
pull;trakpor
pump;ant
punish;don-sadis
punish;donsadis
punishment;don-sadis-tas
punishment;donsadistas
purpose;prop
push;por-an-do
push;porando
push;for-por
push;forpor
put;ter-te
put;terte
put out;an-flam
put out;anflam
quality;tas
queen;pri-lem
queen;prilem
quest;vestas
quest;vest-tas
quest;vesttas
question (n);arr-tas
question (n);arrtas
question (v);arr
quick;rap
quickly approaching;rap-tim
quickly approaching;raptim
quiet;an-son
quiet;anson
quite;nim
race;zen-mur
race;zenmur
rail;sera
rain;ter-hur-mir
rain;terhurmir
raise;uus
range;in-spak
range;inspak
rat;bal-mus
rat;balmus
rate;squa
ray;lor-fil
ray;lorfil
reach;ter-por
reach;terpor
react;rea
reaction;rea-tas
reaction;reatas
read;leg
reading;leg-te
reading;legte
ready;rap-sa
ready;rapsa
real;an-quas
real;anquas
reality;an-quas
reality;anquas
reason;qua-wis
reason;quawis
receipt;ack
record;mag-enu
record;magenu
recriminate;lok-an-adsenktas
recriminate;lokanadsenktas
red;ru
reduce;in-des
reduce;indes
refine;lim
regret (n);poen-tas
regret (n);poentas
regret (v);poen
regular;adsi
relation;afin
relationship;afin
release (n);eks
release (n);ex
release (v);in-ex
release (v);inex
religion;mag-kred
religion;magkred
remain;man
remains;man-char
remains;manchar
remember;reski
remit;dim
remove;por-ailem
remove;porailem
remove danger;an-jux
remove danger;anjux
reorganize;mur-skis
reorganize;murskis
repent;poen
repentance;poen-tas
repentance;poentas
represent;lok-trak
represent;loktrak
representative;lok-trak-lem
representative;loktraklem
request;nes-tas
request;nestas
require;nes
respect;ver-vid
respect;vervid
respond;rea
response;rea-tas
response;restas
responsible;mon-de
responsible;monde
rest;an-por
rest;anpor
rest;sit
return;dim
reward;rem
rhythm;tim-spak
rhythm;timspak
right;ver
ring;dig-kir
ring;digkir
ritual;rit
river;por-mir
river;pormir
rivet;aig
road;via
robe;mas-orn
robe;masorn
rock;lap
rod;sera
roll;kir-por
roll;kirpor
roof;reg-vas-uus
roof;regvasuus
room;reg-char
room;regchar
root;arb-ped
root;arbped
rough;an-lim
rough;anlim
round;kir-ku
round;kirku
row;del
rub;ungo
rule;pri-te
rule;prite
ruler (leader);pri-lem
ruler (leader);prilem
ruler (measure);minzur-char
ruler (measure);minzurchar
run;curo
sacred;om
sacrifice;kah
sacrificial;kah-mani-zen-de
sacrificial;kahmanizende
sad;an-lai
sad;anlai
safe;an-jux
safe;anjux
sail;lint
sale;vil-ved
sale;vilved
salt;al
same;mis
sand;sik-solu
sand;siksolu
savage;veh
say;lok
scale (skin);rig-teg
scale (skin);rigteg
scale (balance);squa
scar;teg-vul
scar;tegvul
scholar;wis-lem
scholar;wislem
school;wis-lem-reg
school;wislemreg
science;mag-ars
science;magars
scientist;mag-ars-lem
scientist;magarslem
scissors;skis-char
scissors;skischar
scorn;asper
scrutiny;ang-vid
scrutiny;angvid
sea;mar
sea serpent;mir-sarp
sea serpent;mirsarp
seal;saep
search;vest
seat;sed-tas
seat;sedtas
second;sek
secret;ark-tas
secret;arktas
secure;an-jux
secure;anjux
see;vid 
see;wis-lor
see;wislor
seed;seg
seem;vid-ku
seem;vidku
seer;vid-lem
seer;vislem
select;sel
selection;sel-tas
selection;seltas
self;aut
sell;ved
send;dim
sense;sent
separate;skis
serious;sev
serpent;sarp
servant;vil-lem
servant;villem
seven;sem
seventh;sem-de
seventh;semde
sex;gens
shade (color);ting
shade (ghost);um-lem
shade (ghost);umlem
shadow;um
shake;vex
shall;pos-tim
shall;postim
shall;re
shame;an-mul
shame;anmul
sharp;ak
she;ilem
she;lem
shear;teg-skis
shear;tegskis
shears (tool);skis-char
shears (tool);skischar
sheep;pek
shelf;bet-mens
shelf;betmens
shell;rig-teg
shell;rigteg
shield;sku
ship (n);lint-tas
ship (n);linttas
ship (v);lint
shirt;thor-teks
shirt;thorteks
shock;sop
shoe;ped-aglo
shoe;pedaglo
shoot;ta
shop;ved-ter
shop;vedter
short;an-cel
short;ancel
shove;for-por
shove;forpor
shovel;pel
shrine;ter-ort
shrine;terort
shrink;in-bet
shrink;inbet
shut;firm
side;lat
sign;viduk-tas
sign;viduktas
silent;an-son
silent;anson
silk;som-teks
silk;somteks
silver;arg
silver serpent;vas-arg-sarp
silver serpent;vasargsarp
similar;mis-ve
similar;misve
simple;pur
single;pri-de
single;pride
singularity;pri-tas
singularity;pritas
sister;sor
six;ek
sixty-four;ah
size;quant
sketch;an-lim
sketch;anlim
sketchy;an-lim
sketchy;anlim
skin;teg
skirt;jup
sky;ter-hur
sky;terhur
slab;tablap
slave;an-ex
slave;anex
sleep;zu
sleep dust;zu-ailem
sleep dust;zuailem
sleepy;zu-ku
sleepy;zuku
slender;an-vas-ku
slender;anvasku
slide;lab
slip;lab
slope;cliv
slow;an-rap
slow;anrap
small;bet
smash;an-in
smash;anin
smear;ungo
smell (n);olef-tas
smell (n);oleftas
smell (v);olef
smelly;olef-ku
smelly;olefku
smile;sub
smoke;fum
smooth;delsa-teg
smooth;delsateg
snake;sarp
snake charmer;sarp-an-zen-ex-lem
snake charmer;sarpanzenexlem
sneeze;ster
snow;nix
so;er
so;ita
soap;purg-ailem
soap;purgailem
society;mur-om
society;murom
soft;delsa
solid;ailem-de
solid;ailemde
some;qua-lem
some;qualem
something;zash
something;zaw
somewhat;zash
somewhat;zaw
son;mas-prol
son;masprol
song;aud-char
song;audchar
sort (n);spec
sort (v);mur-skis
sort (v);murskis
sound;son
soup;umor-kans
soup;umorkans
south;aust
space;spak
spade;pel
speak;lok
special;pecu
spike;aig
spirituality;om-de
spirituality;omde
spoon;cui
spring;sal
spurn;asper
squander;abu
square;kuad
square;quad
stage;ars-solu
stage;arssolu
stamp;saep
star;sil
start;init
statement;mag-mo
statement;magmo
static;an-rel
static;anrel
steal;klep
steal; qep
stealth;ark-lem
stealth;arklem
steam;fum
steel;oric-de
steel;oricde
stench;bal-olef
stench;balolef
step;ped-por
step;pedpor
stern;sev
stick;pend
sticky;pend-ku
sticky;pendku
stiff;rig
still;tam
stink;bal-olef
stink;balolef
stinky;olef-ku
stinky;olefku
stitch (n);suo-tas
stitch (n);suotas
stitch (v);suo
stock;ved-ter-de
stock;vedterde
stomach;alv
stone;lap
stop;an-por
stop;anpor
store;ved-ter
store;vedter
storm;tem
story;jist
straight;rec
strange;anish
strange;aniw
stream;por-mir
stream;pormir
street;op-via
street;opvia
stretch;tir
stretchy;tir-ku
stretchy;tirku
strict;sev
stroll;amb
strong;for
structure;rep
struggle;agra-tas
struggle;agratas
study;in-wis
study;inwis
substance;ailem
success;ben-fin
success;benfin
such;esta
sudden;subi
sugar;sac
sugary;sac-ku
sugary;sacku
suggestion;sev-rem
suggestion;sevrem
summer;flam-tim
summer;flamtim
sun;sur
support;auks
suppose;sum
surprise;ben-sop
surprise;bensop
survival;te-mani-tas
survival;temanitas
survive;te-mani
survive;temani
swamp;vir-mir
swamp;virmir
swear;in-jur
swear;injur
sweet;mit
sweet;sac-ku
sweet;sacku
swim;nag
sword;mek
swordsman;mek-lem
swordsman;meklem
table;mens
tail;cod
take;klep
take;qep
take;por-ailem
take;porailem
talk;lok
talking;lok-de
talking;lokde
tall;celsus
taste;sab
tax;op-som
tax;opsom
teach;in-wis
teach;inwis
teacher;in-wis-lem
teacher;inwislem
teaching;in-wis-de
teaching;inwisde
tear apart;skis
tell;lok
temple;ter-ort
temple;terort
tendency;mors
lake;ter-mir
lake;termir
test;insep
than;de
thank;grat
thanks;grat
that;esta
the;la
their;lem-de
their;lemde
them;lem
then;esta-tim
then;estatim
theory;kred-tas
theory;kredtas
there;ter-esta
there;teresta
there is;ai
there are;ai
there will be;ai-re
there will be;aire
thereby;esta-de
thereby;estade
therewith;esta-de
therewith;estade
they;ilem
they;lem
they;ulem
thick;cras
thief;klep-lem
thief;kleplem
thin;an-vas-ku
thin;anvasku
thing;ailem
think;kred
this;ista
tho;et
those;esta/lem-mur
those;lem-mur
those-lemmur
though;et
thought;kred-tas
thought;kredtas
thread;bet-fil
thread;betfil
threaten;in-jux
threaten;injux
three;kli
three principles (the);axi-mur
three principles (the);aximur
thrice;kli-tim
thrice;klitim
throat;cu-de
throat;cude
throne;mag-sed
throne;magsed
through;per
throw;deji
thumb;mag-dig
thumb;magdig
thunder;tem-agra
thunder;temagra
thus;ita
tie (n);fed-tas
tie (n);fedtas
tie (v);fed
tight;ang
till;hoc
time;tim
timing;tim-te
timing;timde
tired;zu-ku
tired;zuku
to;re
to;trak
to begin;re
toe;ped-dig
toe;peddig
together;rep-ku
together;repku
tomorrow;lor-tim-pos
tomorrow;lortimpos
tongue;lan
too;mis
tooth;buk-kul
tooth;bukkul
teeth;buk-kul
teeth;bukkul
top;vas-uus
top;vasuus
torture;sadis
toss;deji
touch;tan
toward;trak
town;op
toy;lud-ailem
toy;ludailem
trade;vici
trail;cod
trammel;tramel
transport;por
tray;lanx
treachery;dol
tree;vas-arb
tree;vasarb
tremor;vas-por-ailem
tremor;vasporailem
trick;dol
troop leader;us-agra-lem
troop leader;usagralem
trouble;kuae
trouble;quae
trousers;braca
truly;ver-de
truly;verde
truth;ver
try;insep
turn;rot
twist;plir-kir
twist;plirkir
two;sek
ultimate;ul-tim/vas
ultimate;ultim
ultimate;vas
unchanging;an-rel
unchanging;anrel
undead;zen-korp
undead;zenkorp
under;des-de
under;desde
underpinning;des-in-tas
underpinning;desintas
underworld;des-ter-mur
underworld;destermur
unexpected;subi
unhappy;an-lai
unhappy;anlai
unify;pri-in
unify;priin
unit;pri-tas
unit;pritas
unity;pri
unlock (v);aper
unlocked (ad);ex-por
unlocked (ad);expor
unprotected;an-saengkt
unprotected;ansaengkt
unrefined;an-lim
unrefined;anlim
until;hoc
unto;trak
untrap;an-jux
untrap;anjux
unusual;pecu
unwise;an-wis
unwise;anwis
up;uus
upon;ad
urgent;rap
us;ilem
us;ui
us;uilem
usage;per-tas
usage;pertas
use;per
usher in;kal
valley;des-ter
valley;dester
valor;ra
valuable;per-sa
valuable;persa
value;som
vapor;fum
vegetation;arb
vendor;ved-lem
vendor;vedlem
vent;fen
verse;del
very;nim
view;vid
village;bet-op
village;betop
vines;vin-arb
vines;vinarb
violent;veh
virtue;ben-tas
virtue;bentas
virtuous;ben-lem
virtuous;benlem
vision;wis-lor
vision;wislor
voice;vox
vortex;vorteks
wait;tim
waiting;tim-te
waiting;timle
wake;an-zu
wake;anzu
wake up;an-zu
wake up;anzu
walk;amb
wall;mac
wanderer;vag-lem
wanderer;vaglem
wandering;vag-lem
wandering;vaglem
warm;flam-ku
warm;flamku
warrior;agra-lem
warrior;agralem
was;prae-tim
was;praetim
wash;purg
waste;abu
watch;vid
water;mir
watery;mir-ku
watery;mirku
wave;mir-de
wave;mirde
wax;abis-ailem
wax;abisailem
way;gres
way out;gres
we;ilem
we;ui
we;uilem
weapon;agra-char
weapon;agrachar
weaponsmith;agra-char-in-lem
weaponsmith;agracharinlem
wear out;bal-ungo
wear out;balungo
weather;coel
week;sem-lor-tim
week;semlortim
weight;pot
well;ben
well (water);bet-ter-mir
well (water);bettermir
west;ves
wet;mir-ku
wet;mirku
what;kua
wheel;kir-char
wheel;kirchar
when;qua-tim
when;quatim
where;qua-ter
where;quarter
whether;si
which;kua
while;dur
whip;fla
whistle;hur-son
whistle;hurson
white;alb
who;qua-lem
who;qualem
whole;tu-tas
whole;tutas
why;qua-wis
why;quawis
wide;an-ang
wide;anang
will;pos-tim
will;postim
will;re
wind;hur
window;fen
wine;vin
wing;vol
winged;vol-de
winged;volde
wingless;an-vold-de
wingless;anvolde
winter;zu-tim
winter;zutim
wisdom;wis
wise;wis
wisely;wis-de
wisely;wisde
with;ku
within;ante 
within;ku-ante
within;kuante
without;an-ku
without;anku
wolf;lup
woman;fem-lem
woman;femlem
womb;alv
wood;nem
wool;pek-ailem
wool;pekailem
word;mo
work;trav
worker;des-lem
worker;deslem
world;ter-mur
world;termur
worm;bet-sarp
worm;betsarp
wound;vul
write;skri
writing;skri
writer;skri-lem
writer;skrilem
wrong;fel
year;ann
yellow;saf
yes;aio
yesterday;lor-tim-prae
yesterday;lortimprae
yet;a
yield;don
you;ulem
you;u
you all;ulem
young;bet-tim
young;bettim
your;u-de
your;ude
yours;u-de
yours;ude
